n,p,Estimated_Volume,Exact_Volume,Relative_Error,Acceptance_Ratio,Runtime
2,0.5,0.6657360000,0.6666666667,1.396000e-03,.1664340000,0.0410
3,0.5,0.0892480000,0.0888888889,4.040000e-03,.0111560000,0.0469
4,0.5,0.0068960000,0.0063492063,8.612000e-02,.0004310000,0.0618
5,0.5,0.0002560000,0.0002821869,9.280000e-02,.0000080000,0.0777
6,0.5,0.0000000000,0.0000085511,1.000000e+00,0,0.0846
7,0.5,0.0000000000,0.0000001879,1.000000e+00,0,0.0998
8,0.5,0.0000000000,0.0000000031,1.000000e+00,0,0.1772
9,0.5,0.0000000000,0.0000000000,1.000000e+00,0,0.1165
10,0.5,0.0000000000,0.0000000000,1.000000e+00,0,0.1325
11,0.5,0.0000000000,0.0000000000,1.000000e+00,0,0.1404
12,0.5,0.0000000000,0.0000000000,1.000000e+00,0,0.1488
13,0.5,0.0000000000,0.0000000000,1.000000e+00,0,0.1596
14,0.5,0.0000000000,0.0000000000,1.000000e+00,0,0.1781
15,0.5,0.0000000000,0.0000000000,1.000000e+00,0,0.1894
2,2,3.1410280000,3.1415926536,1.797348e-04,.7852570000,0.0420
3,2,4.1868960000,4.1887902048,4.522081e-04,.5233620000,0.0616
4,2,4.9303360000,4.9348022005,9.050415e-04,.3081460000,0.0621
5,2,5.2483840000,5.2637890139,2.926602e-03,.1640120000,0.0703
6,2,5.1559040000,5.1677127800,2.285108e-03,.0805610000,0.0828
7,2,4.7056640000,4.7247659703,4.042945e-03,.0367630000,0.0921
8,2,4.0555520000,4.0587121264,7.786032e-04,.0158420000,0.1038
9,2,3.3024000000,3.2985089027,1.179653e-03,.0064500000,0.1147
10,2,2.5180160000,2.5501640399,1.260626e-02,.0024590000,0.1279
11,2,1.8800640000,1.8841038794,2.144191e-03,.0009180000,0.1422
12,2,1.3230080000,1.3352627689,9.177796e-03,.0003230000,0.1562
13,2,0.8683520000,0.9106287548,4.642589e-02,.0001060000,0.1811
14,2,0.4915200000,0.5992645293,1.797946e-01,.0000300000,0.1890
15,2,0.4915200000,0.3814432808,2.885795e-01,.0000150000,0.2107
2,8,3.9138520000,3.9138432878,2.225993e-06,.9784630000,0.0365
3,8,7.5149760000,7.5167003622,2.294041e-04,.9393720000,0.0483
4,8,14.2015680000,14.2005148838,7.416043e-05,.8875980000,0.0623
5,8,26.4338240000,26.4377818020,1.497025e-04,.8260570000,0.0796
6,8,48.5424000000,48.5767538010,7.072066e-04,.7584750000,0.0863
7,8,88.1671680000,88.1941523066,3.059648e-04,.6888060000,0.0979
8,8,158.3618560000,158.3791705169,1.093232e-04,.6186010000,0.1147
9,8,281.3465600000,281.5629698077,7.686018e-04,.5495050000,0.1385
10,8,495.6344320000,495.8970027654,5.294865e-04,.4840180000,0.1412
11,8,863.9016960000,865.8100133705,2.204083e-03,.4218270000,0.1545
12,8,1495.1301120000,1499.3771788034,2.832554e-03,.3650220000,0.1627
13,8,2571.5015680000,2576.7347397560,2.030932e-03,.3139040000,0.1730
14,8,4381.5567360000,4396.3119847992,3.356279e-03,.2674290000,0.1869
15,8,7433.5191040000,7449.6622329399,2.166961e-03,.2268530000,0.2115
